fold,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold2,10,0.7,0.0,delta-blend@k10_b07,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,0.7,0.0,delta-blend@k10_b07,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,0.7,0.0,delta-blend@k10_b07,late,56,122.64857482910156,210.91937255859375,24.445695877075195,24.68889808654785,24.445695877075195,0.0
fold2,3,,0.8,delta-knn-only@k3,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,3,,0.8,delta-knn-only@k3,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,3,,0.8,delta-knn-only@k3,late,56,122.64857482910156,210.91937255859375,24.932415008544922,25.052980422973633,24.932415008544922,0.0
fold2,3,0.3,0.8,delta-blend@k3_b03,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,3,0.3,0.8,delta-blend@k3_b03,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,3,0.3,0.8,delta-blend@k3_b03,late,56,122.64857482910156,210.91937255859375,23.63199234008789,24.149782180786133,23.63199234008789,0.0
fold2,3,0.5,0.8,delta-blend@k3_b05,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,3,0.5,0.8,delta-blend@k3_b05,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,3,0.5,0.8,delta-blend@k3_b05,late,56,122.64857482910156,210.91937255859375,24.0035400390625,24.377056121826172,24.0035400390625,0.0
fold2,3,0.7,0.8,delta-blend@k3_b07,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,3,0.7,0.8,delta-blend@k3_b07,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,3,0.7,0.8,delta-blend@k3_b07,late,56,122.64857482910156,210.91937255859375,24.375089645385742,24.62933921813965,24.375089645385742,0.0
fold2,5,,0.8,delta-knn-only@k5,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,,0.8,delta-knn-only@k5,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,,0.8,delta-knn-only@k5,late,56,122.64857482910156,210.91937255859375,24.958065032958984,25.07672882080078,24.958065032958984,0.0
fold2,5,0.3,0.8,delta-blend@k5_b03,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,0.3,0.8,delta-blend@k5_b03,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,0.3,0.8,delta-blend@k5_b03,late,56,122.64857482910156,210.91937255859375,23.63968849182129,24.15615463256836,23.63968849182129,0.0
fold2,5,0.5,0.8,delta-blend@k5_b05,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,0.5,0.8,delta-blend@k5_b05,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,0.5,0.8,delta-blend@k5_b05,late,56,122.64857482910156,210.91937255859375,24.016366958618164,24.3880615234375,24.016366958618164,0.0
fold2,5,0.7,0.8,delta-blend@k5_b07,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,0.7,0.8,delta-blend@k5_b07,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,0.7,0.8,delta-blend@k5_b07,late,56,122.64857482910156,210.91937255859375,24.393047332763672,24.645252227783203,24.393047332763672,0.0
fold2,10,,0.8,delta-knn-only@k10,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,,0.8,delta-knn-only@k10,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,,0.8,delta-knn-only@k10,late,56,122.64857482910156,210.91937255859375,25.01163101196289,25.120140075683594,25.01163101196289,0.0
fold2,10,0.3,0.8,delta-blend@k10_b03,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,0.3,0.8,delta-blend@k10_b03,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,0.3,0.8,delta-blend@k10_b03,late,56,122.64857482910156,210.91937255859375,23.655757904052734,24.165319442749023,23.655757904052734,0.0
fold2,10,0.5,0.8,delta-blend@k10_b05,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,0.5,0.8,delta-blend@k10_b05,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,0.5,0.8,delta-blend@k10_b05,late,56,122.64857482910156,210.91937255859375,24.04315185546875,24.40524673461914,24.04315185546875,0.0
fold2,10,0.7,0.8,delta-blend@k10_b07,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,0.7,0.8,delta-blend@k10_b07,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,0.7,0.8,delta-blend@k10_b07,late,56,122.64857482910156,210.91937255859375,24.4305419921875,24.671907424926758,24.4305419921875,0.0
fold3,,,,head-only,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,,,,head-only,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,,,,head-only,late,56,134.55799865722656,172.6868438720703,32.08738327026367,32.102439880371094,32.08738327026367,0.0
fold3,3,,0.0,delta-knn-only@k3,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,,0.0,delta-knn-only@k3,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
